組織,案件名,URL,階層
県|香川県,瀬戸内少女歌劇団 団員募集のお知らせ,https://www.pref.kagawa.lg.jp/setouchi/20250401pr.html,L1
県|香川県,讃岐・香川の伝統的ものづくり産業応援事業 製造者活動促進支援事業補助金の申込者を募集します！,https://www.pref.kagawa.lg.jp/keiei/jibasangyo/seizoushasienn2025.html,L1
県|香川県,讃岐・香川の伝統的ものづくり産業応援事業 利用者支援型魅力発信事業補助金を募集します,https://www.pref.kagawa.lg.jp/keiei/jibasangyo/riyoushasienn2025.html,L1
県|香川県,令和8年度香川県砂防情報システム保守管理業務委託の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/sabou_hosyu.html,L1
県|香川県,令和8年度香川県砂防情報システム施設点検業務委託の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/sabou_sisetutenken.html,L1
県|香川県,令和8年度香川県水防情報システム保守管理業務委託の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/suibou_hosyu.html,L1
県|香川県,令和8年度香川県水防情報システム施設点検業務委託の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/suiboujyouhousisutemu_hosyu.html,L1
県|香川県,香川県業務用パソコン等の借入れについて,https://www.pref.kagawa.lg.jp/joho/20250304.html,L1
県|香川県,香川県坂出合同庁舎ラック型非常用放送設備取替その他業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/chusandoboku/2345.html,L1
県|香川県,香川県生活困窮者・被保護者就労準備支援事業業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/hokenhukushi/livelihood/r7_zyunbi_nyuusatsu.html,L1
県|香川県,被保護者就労支援業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/hokenhukushi/livelihood/r7_syuurou_nyuusatsu.html,L1
県|香川県,Microsoft365 E3（teamsを含む）ライセンス（4か月）の購入に係る一般競争入札について,https://www.pref.kagawa.lg.jp/joho/20250219.html,L1
県|香川県,香川県立屋島少年自然の家弁当提供委託業務契約の企画提案方式（プロポーザル方式）による公募について,https://www.pref.kagawa.lg.jp/yashimashonen/2025_bento.html,L1
県|香川県,ノーコードツール等ライセンスの購入に係る一般競争入札について,https://www.pref.kagawa.lg.jp/digital/20250213_nocode.html,L1
県|香川県,瀬戸内国際芸術祭2025警備関連業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/setouchi/061101.html,L1
県|香川県,瀬戸内国際芸術祭2025県内連携事業「くるりアートかがわ」対象イベント等の公募について,https://www.pref.kagawa.lg.jp/setouchi/20241024pr.html,L1
県|香川県,瀬戸内国際芸術祭2025案内所運営等業務委託契約に係る企画提案方式(プロポーザル方式)による公募について（公告）,https://www.pref.kagawa.lg.jp/setouchi/20240912.html,L1
県|香川県,香川県立屋島少年自然の家A重油単価契約の一般競争入札について,https://www.pref.kagawa.lg.jp/yashimashonen/2023_nyusatu/2024jyuuyu2nd.html,L1
県|香川県,香川県立中央病院「売店」「食堂」「床頭台等設置管理」「患者用病衣貸出」等運営事業者の公募について,https://www.pref.kagawa.lg.jp/chuobyoin/chuobyoin/20240530gyoumuka01.html,L1
県|香川県,香川県立屋島少年自然の家屋外清掃（草刈・剪定等）業務委託について（契約締結後情報）,https://www.pref.kagawa.lg.jp/yashimashonen/yasho/2024okugaiseisou_teiketugojouho.html,L1
県|香川県,令和6年度香川県立屋島少年自然の家屋外清掃（草刈・剪定等）委託業務について,https://www.pref.kagawa.lg.jp/yashimashonen/2024_okugaiseisou.html,L1
県|香川県,令和5年度丸亀病院4病棟第3トイレ改修業務に係る一般競争入札について,https://www.pref.kagawa.lg.jp/marugamebyoin/2023toire.html,L1
県|香川県,令和7年度「瀬戸内海環境保全推進」ポスター募集！,https://www.pref.kagawa.lg.jp/kankyokanri/kankyouhozen-poster/bosyuu.html,L1
県|香川県,令和6年度香川県水防情報システム保守管理業務委託の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/suiboujyouhousisutemuhosyukannri.html,L1
県|香川県,令和5年度香川県立屋島少年自然の家野外炊事食品提供委託業務の公募について,https://www.pref.kagawa.lg.jp/yashimashonen/2023_nyusatu/yagaisuizi.html,L1
県|香川県,（防災・安全社会資本整備交付金）香川県水防情報システム改修工事 建設資材単価調査業務の一般競争入札について,https://www.pref.kagawa.lg.jp/kasensabo/suiboutannka.html,L1
県|香川県,香川県物品調達情報,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/kfvn.html,L1
県|香川県,電子入札制度,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/denshi.html,L1
県|香川県,競争入札参加資格（PDF：145KB）,https://www.pref.kagawa.lg.jp/documents/61050/20260401_hitsuyou-shikaku.pdf,L1
県|香川県,令和8年度の物品の買入れ等に係る特定調達契約の競争入札参加資格及び資格審査の申請方法等について（PDF：296KB）,https://www.pref.kagawa.lg.jp/documents/61050/k45.pdf,L1
県|香川県,入札・契約制度,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/nyusatu.html,L1
県|香川県,かがわ電子入札システム（外部サイトへリンク）,https://dennyu.pref.kagawa.lg.jp/index_b.html,L1
県|香川県,一般競争入札情報,https://www.pref.kagawa.lg.jp/cgi-bin/page/list.php?tpl_type=2&amp;page_type=5,L1
県|香川県,入札参加資格申請手続き,https://www.pref.kagawa.lg.jp/soumujimu/nyusatu/s51w35171212184707.html,L1
県|香川県,令和9・10・11年香川県物品の買入れ等の契約に係る競争入札参加資格審査申請手続きについて,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/9koushin2.html,L1
県|香川県,令和6・7・8年香川県物品の買入れ等の契約に係る競争入札参加資格審査申請手続きについて,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/kousinn1.html,L1
県|香川県,入札・見積情報,https://www.pref.kagawa.lg.jp/soumujimu/choutatu/joho/index.html,L1
県|香川県,"募集要領（PDF：1,738KB）",https://www.pref.kagawa.lg.jp/documents/61096/youryour8-2.pdf,L1
県|香川県,"令和8年度かがわ中小事業者CO2CO2削減支援補助金募集要領（PDF：1,738KB）",https://www.pref.kagawa.lg.jp/documents/61096/youryour8-2.pdf,L1
県|香川県,「香川県太陽光発電施設の設置等に関するガイドラインの改正（案）」のパブリック・コメント（意見公募）実施結果,https://www.pref.kagawa.lg.jp/kankyoseisaku/chikyu/saiene/guidelinepublic260331.html,L1
県|香川県,かがわスマートグリーン・バンク（太陽光発電）のJ-クレジット購入者募集について【令和7年度】,https://www.pref.kagawa.lg.jp/kankyoseisaku/chikyu/saiene/sumaguribaikyaku.html,L1
外郭|佐賀,休日の依頼業務対応について,https://www.saga-itc.jp/goshokai/_1174.html,L1
外郭|佐賀,佐賀県職員募集サイト,https://www.pref.saga.lg.jp/kiji003112758/index.html,L1
外郭|佐賀,（※休日の業務依頼について）,https://www.saga-itc.jp/goshokai/_1174.html,L1
外郭|佐賀,摺動部品の材料選定のために滑りやすさを比較しました,https://www.saga-itc.jp/var/rev0/0007/4346/12_friction_wear_tester.pdf,L2
外郭|佐賀,佐賀県職員（工業）の募集のお知らせ,https://www.saga-itc.jp/index/news/2026_shinchaku/shokuin_boshu.html,L2
外郭|佐賀,「受託研究」の課題を募集しています（令和８年度）,https://www.saga-itc.jp/goriyoannai/_1019/jutaku_kenkyuu.html,L2
外郭|佐賀,「萌芽的独創研究」の課題を募集しています（令和８年度）,https://www.saga-itc.jp/goriyoannai/_1019/houga_kenkyuu.html,L2
市|suginami区,杉並区非常勤職員の募集,https://www.city.suginami.tokyo.jp/kusei/jinji/saiyo/hijoukinboshuu/index.html,L1
市|suginami区,杉並区会計年度任用職員（専門職）【言語聴覚士】募集案内（PDF：265KB）,https://www.city.suginami.tokyo.jp/documents/28619/1101bosyuu.pdf,L1
市|suginami区,【令和8年11月1日付採用】こども発達センター会計年度任用職員（専門職）【言語聴覚士】を募集します（2026年8月21日）,https://www.city.suginami.tokyo.jp/s036/news/28619.html,L1
市|suginami区,令和8年度（仮称）ケアハウス今川運営事業者候補者の公募を開始します（2026年8月26日）,https://www.city.suginami.tokyo.jp/s038/28590.html,L1
