検出日,発注機関,都道府県,分類,tier,関連度,一致語,案件名,URL,調達ページ,ドメイン
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【受付終了】さいたま市役所本庁舎広告付き地図案内板設置・運営事業者を募集します！,https://www.city.saitama.lg.jp/005/001/017/001/p124208.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【受付終了】令和8年度さいたま市役所本庁舎のキッチンカー設置・運営事業者を募集します！,https://www.city.saitama.lg.jp/005/001/017/001/p112541.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,催事,【参加受付は終了しました】鉄道ふれあいフェア開催事業業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p132111.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【最優秀提案者が決定しました】さいたま市放課後子ども居場所事業運営業務 企画提案の募集について（追加分）,https://www.city.saitama.lg.jp/005/001/017/012/p131033.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【最優秀提案者が決定しました】さいたま市放課後子ども居場所事業運営業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p124043.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【最優秀提案者が決定しました】さいたま市地域クラブ活動運営支援業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p127435.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【最優秀提案者を決定しました】さいたま市立病院入院セットレンタル運営 企画提案書の募集（公募型プロポーザル）について,https://www.city.saitama.lg.jp/005/001/017/012/p125377.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【最優秀提案者が決定しました】さいたま市チャレンジスクール運営支援業務 企画提案書の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p126908.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,文化,【質問に対する回答を追加しました】さいたま市大宮盆栽美術館 ライトアップ及び盆栽文化啓発業務 企画提案の募集について,https://www.city.saitama.lg.jp/005/001/017/012/p122018.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,さいたま市,埼玉,自治体本体（政令市）,tier_a,1,運営,【受託候補者を特定しました】さいたま市障害者生活支援センター運営業務 企画提案の募集結果について,https://www.city.saitama.lg.jp/005/001/017/012/p077980.html,https://www.city.saitama.lg.jp/005/001/017/index.html,city.saitama.lg.jp
2026-08-21,堺市,大阪,自治体本体（政令市）,tier_a,1,運営,（令和8年8月17日公表）「堺市統一地方選挙に係る広報啓発事業企画・運営業務」に係る総合評価一般競争入札を実施(選挙管理委員会事務局),https://www.city.sakai.lg.jp/shisei/senkyo/oshirase/R8_koho_keihatsu.html,https://www.city.sakai.lg.jp/boshu/index.html,city.sakai.lg.jp
2026-08-21,堺市,大阪,自治体本体（政令市）,tier_a,1,運営,（令和8年7月8日公表）地域包括支援センター運営法人を募集します,https://www.city.sakai.lg.jp/kenko/fukushikaigo/koreishafukushi/jigyo/koubo/R8koubo.html,https://www.city.sakai.lg.jp/boshu/index.html,city.sakai.lg.jp
2026-08-21,仙台市,宮城,自治体本体（政令市）,tier_a,1,運営,【受託候補者を決定しました】「杜の都ネイチャーポジティブセンター事務局企画運営等業務」に係る公募型プロポーザルを実施します,https://www.city.sendai.jp/kankyochose/jigyosha/morinomiyakonpc2026.html,https://www.city.sendai.jp/boshu/index.html,city.sendai.jp
2026-08-21,仙台市,宮城,自治体本体（政令市）,tier_a,1,運営,【受託候補者を決定しました】「杜の都ネイチャーポジティブセンター事務局企画運営等業務」に係る公募型プロポーザルを実施します（2026年7月22日）,https://www.city.sendai.jp/boshu/index.html,https://www.city.sendai.jp/boshu/index.html,city.sendai.jp
