検出日,経路,検索語,関連度,一致語,調達案件番号,案件名,発注機関,所在地,公開開始日,URL,リンク種別
2026-09-15,調達ポータル,海外/国際,2,海外/国際,0000000000000611275,量子中継技術の国際展開に向けた海外実証等の請負,総務省,東京都,令和08年07月08日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000611275,直リンク
2026-09-15,調達ポータル,海外/国際,2,海外/国際,0000000000000616621,08-0049-0213 量子中継技術の国際展開に向けた海外実証等の請負（再度公告）,総務省,東京都,令和08年08月07日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616621,直リンク
2026-09-15,調達ポータル,海外/プロモーション,2,海外/プロモーション,0000000000000617024,令和８年度 ウポポイ海外プロモーション業務,国土交通省,北海道,令和08年08月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617024,直リンク
2026-09-15,調達ポータル,出展/国際,2,国際/出展,,令和７年度２０２７年国際園芸博覧会政府出展屋外展示制作に係る業務 一式,国土交通省,東京都,令和08年05月01日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,出展/国際,2,国際/出展,,令和７年度補正２０２７年国際園芸博覧会国際出展支援業務 一式,国土交通省,東京都,令和08年05月01日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,出展/国際,2,国際/出展,,令和８年度２０２７年国際園芸博覧会国際出展支援業務 一式,国土交通省,東京都,令和08年09月01日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,観光,2,観光/運営,,第３回日土観光交流促進協議会の運営業務,国土交通省,東京都,令和08年08月19日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,情報発信/見本市/国際,2,国際/見本市,0000000000000573262,国際見本市等を通じた放送コンテンツの情報発信に関する調査,総務省,東京都,令和08年02月02日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000573262,直リンク
2026-09-15,調達ポータル,伝統/国際,2,国際/運営,0000000000000618339,関西国際空港における「伝統的酒造り」及び近畿産酒類のＰＲイベントの運営業務委託,財務省,大阪府,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618339,直リンク
2026-09-15,調達ポータル,インバウンド,2,インバウンド,,インバウンド集中地域における地域還元手法に関する調査研究事業,国土交通省,東京都,令和08年08月26日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,国際,2,国際/催事,0000000000000594887,マレーシア及びオーストラリアにおける国際標準化活動促進ワークショップ開催事務の請負,総務省,東京都,令和08年04月10日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000594887,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000612182,電気通信機器に係る国際ワークショップ運営事務及び基準・認証制度に関する国際調査業務の請負,総務省,東京都,令和08年07月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000612182,直リンク
2026-09-15,調達ポータル,国際,2,国際/催事,0000000000000613173,08-0049-0185 次世代移動通信等に関する国際連携推進に向けた国際ワークショップの開催事務の請負,総務省,東京都,令和08年07月17日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000613173,直リンク
2026-09-15,調達ポータル,国際,2,国際/催事,0000000000000614188,ブータン及びスリランカにおける国際標準化活動促進ワークショップ開催事務の請負,総務省,東京都,令和08年07月24日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614188,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000617761,令和８年度安全保障国際シンポジウム及び国際安全保障コロキアム開催に 係る運営業務,防衛省,東京都,令和08年08月18日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617761,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000618172,シンポジウム「国際シンポジウム２０２７（仮称）」における設営及び運営等業務,財務省,東京都,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618172,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000618695,国際会議に係る会議運営等業務,国家公安委員会（警察庁）,東京都,令和08年08月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618695,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000618810,堺泉北港汐見沖地区国際物流ターミナル完成式典運営補助業務,国土交通省,大阪府,令和08年08月26日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618810,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000620239,【東京航空局】令和８年度ＰＦＩ手法による「東京国際空港国際線地区旅客ターミナルビル等整備・運営事業」 等に関する検討業務,国土交通省,東京都,令和08年08月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620239,直リンク
2026-09-15,調達ポータル,国際,2,国際/運営,0000000000000623046,欧州・インド太平洋ラウンドテーブル国際会議運営業務委託,防衛省,東京都,令和08年09月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623046,直リンク
2026-09-15,調達ポータル,海外/情報発信,1,海外,0000000000000342864,令和４年度大山隠岐国立公園海外向け情報発信強化業務,環境省,岡山県,令和04年09月22日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000342864,直リンク
2026-09-15,調達ポータル,海外/情報発信,1,海外,0000000000000346772,令和４年度大山隠岐国立公園海外向け情報発信強化業務【再度公告】,環境省,岡山県,令和04年10月26日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000346772,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000551372,07-0049-0256 量子暗号通信の社会実装加速化に向けた海外調査等の請負,総務省,東京都,令和07年10月30日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551372,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000553525,07-0049-0273 放送コンテンツの海外市場規模に関する実態調査,総務省,東京都,令和07年11月14日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000553525,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000562335,令和８年度海外用携帯電話・データ通信機器の提供,総務省,東京都,令和08年01月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000562335,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000565131,海外郵政関連情報の収集等の請負,総務省,東京都,令和08年01月16日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000565131,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000566327,海外AIデータセンターへのオール光ネットワーク技術の展開に向けた調査研究の請負,総務省,東京都,令和08年01月16日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000566327,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000608873,海外における分散データセンター向け大容量・超低消費電力モジュール技術の展開・実証及び調査研究の請負,総務省,東京都,令和08年06月29日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000608873,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000617099,動画配信サービス等における日本コンテンツの海外視聴実態に関する調査研究の請負,総務省,東京都,令和08年08月19日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617099,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000617538,海外における渡航移植及び臓器移植制度等に関する調査業務一式,厚生労働省,東京都,令和08年08月14日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617538,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000617894,令和８年度 海外向けグラフィック日本事情発信誌「にぽにか （niponica）」の制作・複製及び納入,外務省,東京都,令和08年08月17日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617894,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000618017,【特許庁】令和８年度産業財産権制度各国比較調査研究等事業「海外庁における特許審査ハイウェイ（ＰＰＨ）申請出願の状況に関する調査研究」,経済産業省,東京都,令和08年08月20日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618017,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000618862,【資エ庁】令和７年度補正廃炉・汚染水・処理水対策事業（海外における廃炉への取組事例に関する情報収集・調査・分析等）,経済産業省,東京都,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618862,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000618942,海外地域（インド・南アフリカ）における酒類の規制調査業務の委託,財務省,東京都,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618942,直リンク
2026-09-15,調達ポータル,海外/情報発信,1,海外,0000000000000619753,令和８年度中部山岳国立公園南部地域「Kita Alps Traverse Route」におけるロングトレイルを通じた感動体験・海外情報発信業務,環境省,長野県,令和08年08月26日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619753,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000620909,【本省】令和８年度皮革産業振興対策事業（新たなクラスター形成及び海外需要獲得に向けた調査事業）,経済産業省,東京都,令和08年09月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620909,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000620923,海外地域（インド・南アフリカ）における酒類の規制調査業務の委託,財務省,東京都,令和08年08月21日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620923,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000621879,令和８年度海外用Ｗｉ－Ｆｉルーター及び携帯電話等の借上げ業務一式,厚生労働省,東京都,令和08年09月09日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621879,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000622208,海外におけるカジノ事業者等の監督手法の実態調査,カジノ管理委員会,東京都,令和08年09月09日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622208,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000622947,【本省】令和８年度産業保安等調査研究事業（リチウムイオン蓄電池起因事故の海外動向調査と原因究明高度化に関する調査事業）,経済産業省,東京都,令和08年09月11日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622947,直リンク
2026-09-15,調達ポータル,海外,1,海外,0000000000000623137,令和８年度海外テレビ局提供・海外広報用日本紹介映像資料「JAPAN VIDEO TOPICS」の制作・複製及び納入,外務省,東京都,令和08年09月14日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623137,直リンク
2026-09-15,調達ポータル,海外,1,海外,,2026年度 Smart JAMPスマートシティ実現に向けた調査検討業務（海外ドナー案件獲得）（仮称）,国土交通省,東京都,令和07年12月19日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,出展,1,出展,0000000000000568974,「MWCバルセロナ2027」への日本ブース出展を通じた我が国ICT企業のグローバル展開促進に関する調査研究の請負,総務省,東京都,令和08年01月23日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000568974,直リンク
2026-09-15,調達ポータル,出展,1,出展,0000000000000580491,「AI for Good Global Summit 2026」への日本ブース出展を通じたAI分野のスタートアップのグローバル展開促進に関する調査研究の請負,総務省,東京都,令和08年02月19日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000580491,直リンク
2026-09-15,調達ポータル,出展,1,出展,0000000000000600396,インドにおける我が国ICT企業のグローバル展開促進（インド・モバイル・コングレス2026出展）に関する調査研究の請負,総務省,東京都,令和08年05月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000600396,直リンク
2026-09-15,調達ポータル,プロモーション,1,プロモーション,0000000000000352160,令和４年度旅行博覧会における中国四国地方の国立公園プロモーション業務,環境省,岡山県,令和04年12月06日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000352160,直リンク
2026-09-15,調達ポータル,プロモーション,1,プロモーション,0000000000000419662,国債広告（地方プロモーション）の企画・制作及び実施委託業務 一式,財務省,東京都,令和06年01月16日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000419662,直リンク
2026-09-15,調達ポータル,観光,1,観光,0000000000000403270,令和５年度大山隠岐国立公園におけるストーリー構築のための観光資源価値調査等業務,環境省,岡山県,令和05年08月23日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000403270,直リンク
2026-09-15,調達ポータル,観光,1,観光,0000000000000621612,令和８年度霧島錦江湾国立公園ネイチャーポジティブ観光推進業務,環境省,熊本県,令和08年09月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621612,直リンク
2026-09-15,調達ポータル,観光,1,観光,0000000000000621924,中央アジア広域観光（シルクロード広域観光）促進に向けた調査委託,外務省,東京都,令和08年09月09日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621924,直リンク
2026-09-15,調達ポータル,観光,1,観光,0000000000000622095,観光庁環境整備業務,国土交通省,東京都,令和08年09月08日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622095,直リンク
2026-09-15,調達ポータル,観光,1,観光,,観光庁環境整備業務一式（電子入札対象案件）,国土交通省,東京都,令和08年09月08日,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115,要検索（調達案件番号なし）
2026-09-15,調達ポータル,文化,1,文化,0000000000000561332,令和8年度文化庁乗用自動車（ハイヤー）雇上げ 一式,文部科学省,東京都,令和08年01月06日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000561332,直リンク
2026-09-15,調達ポータル,文化,1,文化,0000000000000618047,【規制庁】令和８年度組織文化の評価に係る事例調査,環境省,東京都,令和08年08月20日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618047,直リンク
2026-09-15,調達ポータル,文化,1,文化,0000000000000619211,令和８年度文化啓発用品の調達,外務省,東京都,令和08年08月28日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619211,直リンク
2026-09-15,調達ポータル,文化,1,文化,0000000000000620184,日独共同統合衛生訓練に伴う文化研修支援等役務,防衛省,東京都,令和08年08月27日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620184,直リンク
2026-09-15,調達ポータル,文化,1,文化,0000000000000621987,研究者のウェルビーイングと研究文化に関する調査の実施支援業務,文部科学省,東京都,令和08年09月07日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621987,直リンク
2026-09-15,調達ポータル,文化,1,文化,0000000000000622679,令和８年度中小企業実態調査事業（地域における食文化産業エコシステム構築に向けた実証調査事業）,経済産業省,北海道,令和08年09月11日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622679,直リンク
2026-09-15,調達ポータル,伝統,1,運営,0000000000000410256,「伝統的酒造りシンポジウムin四国」の開催に係る運営等業務,財務省,香川県,令和05年10月18日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000410256,直リンク
2026-09-15,調達ポータル,ジャパン,1,運営,0000000000000619265,ジャパン・ハウス事業のコンサルティング業務（ジャパン・ハウス運営上のガバナンス強化に資する改善策についての調査・提言）,外務省,東京都,令和08年08月24日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619265,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000529493,令和７年度国立京都国際会館非常用放送設備更新工事,財務省,大阪府,令和07年05月30日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000529493,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000545811,ワイヤレス分野の重点技術領域及び推進方策、並びに次世代モバイルネットワークの高度化に向けた国際連携の推進戦略に関する調査検討,総務省,東京都,令和07年09月18日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000545811,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000547428,情報通信・デジタル分野における国際標準化（ルール形成）活動の持続的推進を支える人材基盤の強化に資する講習カリキュラム及び教育プログラム等の整備並びにその実効的運用等に関する調査の~,総務省,東京都,令和07年10月03日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547428,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000547486,07-0049-0230 令和７年度 国際データ取引市場創出事業の請負,総務省,東京都,令和07年10月03日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547486,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000547565,情報通信・デジタル分野における国際標準化（ルール形成）活動の持続的推進を支える人材基盤の強化に資する標準化人材の役割・業務・知識・スキル等の体系的整備等に関する請負,総務省,東京都,令和07年10月03日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547565,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000551376,07-0049-0257 世界の放送をめぐる現状・動向を踏まえた国際市場動向の調査,総務省,東京都,令和07年10月30日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551376,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000551717,デジタルインフラ分野の国際競争力の強化に向けた安全保障分野における先端情報通信システム等の活用促進に関する調査研究,総務省,東京都,令和07年11月04日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551717,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000551723,国際間接続ネットワーク分野におけるオール光ネットワーク技術の普及に向けた調査研究の請負,総務省,東京都,令和07年11月05日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551723,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000552237,国際的AI ガバナンス枠組みの相互運用性に係る調査の請負,総務省,東京都,令和07年11月05日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000552237,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000558490,南西諸島周辺地域における新たな海底ケーブルに対する需要動向及びデジタル関連産業の国際競争力強化に関する調査研究,総務省,東京都,令和07年12月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000558490,直リンク
2026-09-15,調達ポータル,国際,1,国際,0000000000000558602,我が国における情報セキュリティ産業の高度化・国際競争力の強化に向けた米国の産学官連携に係るラウンドテーブル開催の請負,総務省,東京都,令和07年12月15日,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000558602,直リンク
